ID,WBS #,Title,Start Date,End Date,Predecessors,1,WBS #
,1,FYP2,05/04/2020,1/22/2021,,,
1,1.1,Analysis Phase,05/04/2020,5/23/2020,,1.1.1,1.1
2,1.1.1,Planning,05/04/2020,5/14/2020,,1.1.1.1,1.1.1
3,1.1.1.1,Select Project title,05/04/2020,05/04/2020,,1.1.1.1.1,1.1.1.1
4,1.1.1.2,Define project scope,05/05/2020,05/05/2020,1.1.1.1,1.1.1.1.2,1.1.1.2
5,1.1.1.3,Work Break Down Struture,05/06/2020,05/06/2020,1.1.1.2,1.1.1.1.3,1.1.1.3
6,1.1.1.4,Grantt Chart,05/07/2020,05/07/2020,1.1.1.3,1.1.1.1.4,1.1.1.4
7,1.1.1.5,Prepare project proposal,05/07/2020,05/09/2020,1.1.1.3,1.1.1.1.5,1.1.1.5
8,1.1.1.6,Prepare Video,05/10/2020,05/10/2020,1.1.1.5,1.1.1.1.6,1.1.1.6
9,1.1.1.7,Proposal & Video Submition,05/11/2020,05/11/2020,1.1.1.6,1.1.1.1.7,1.1.1.7
10,1.1.1.8,Proposal Defense,5/13/2020,5/14/2020,1.1.1.7,1.1.1.1.8,1.1.1.8
11,1.1.2,Analysis,5/14/2020,5/17/2020,,1.1.1.2,1.1.2
12,1.1.2.1,User story,5/14/2020,5/17/2020,1.1.1.8,1.1.1.2.1,1.1.2.1
13,1.1.2.2,Requirement Analysis,5/14/2020,5/16/2020,1.1.1.8,1.1.1.2.2,1.1.2.2
14,1.1.3,Leterature review,5/14/2020,5/23/2020,,1.1.1.3,1.1.3
15,1.1.3.1,Stuttered Speech Detection,5/14/2020,5/16/2020,1.1.1.8,1.1.1.3.1,1.1.3.1
16,1.1.3.2,Research on ML model,5/16/2020,5/18/2020,1.1.3.1,1.1.1.3.2,1.1.3.2
17,1.1.3.3,Research on features,5/18/2020,5/2020/2020,1.1.3.2,1.1.1.3.3,1.1.3.3
18,1.1.3.4,Research on training model,5/2020/2020,5/21/2020,1.1.3.3,1.1.1.3.4,1.1.3.4
19,1.1.3.5,Research on Framework,5/21/2020,5/22/2020,1.1.3.4,1.1.1.3.5,1.1.3.5
20,1.1.3.6,Development Methodology,5/22/2020,5/23/2020,1.1.3.5,1.1.1.3.6,1.1.3.6
21,1.1.4,Define scope,5/21/2020,5/22/2020,,1.1.1.4,1.1.4
22,1.1.4.1,Scope of ML,5/21/2020,5/22/2020,1.1.3.4,1.1.1.4.1,1.1.4.1
23,1.1.4.2,Scope of App,5/21/2020,5/22/2020,1.1.3.4,1.1.1.4.2,1.1.4.2
24,1.2,Sprint 1,5/22/2020,06/11/2020,,1.1.2,1.2
25,1.1.4.3,Review and fix analysis phase,5/22/2020,5/25/2020,1.1.4.2,1.1.,1
26,1.2.1,Design,5/25/2020,5/28/2020,,1.1.2.1,1.2.1
